Name,Meta Critic,Cost,Class,Country,Whiskey Type
Aberlour A'Bunadh (Batch 48),8.77,$$$$,SingleMalt-like,Scotland,Malt
Jura Brooklyn,8.77,$$$$,SingleMalt-like,Scotland,Malt
Longrow Red 11yo Australian Shiraz,8.77,$$$$$,SingleMalt-like,Scotland,Malt
AnCnoc 22yo,8.76,$$$$$,SingleMalt-like,Scotland,Malt
Bowmore 10yo Devil's Cask (all batches),8.76,$$$$$,SingleMalt-like,Scotland,Malt
GlenDronach 18yo Tawny Port Finish,8.76,$$$$$,SingleMalt-like,Scotland,Malt
Glenfiddich Snow Phoenix,8.76,$$$$$+,SingleMalt-like,Scotland,Malt
Longrow Red 11yo Port Cask,8.76,$$$$,SingleMalt-like,Scotland,Malt
Smogen Sherry Project 1:3,8.76,$$$$,SingleMalt-like,Sweden,Malt
Arran Malt Sassicaia Wine Cask Finish,8.75,$$$$$,SingleMalt-like,Scotland,Malt
Balvenie 21yo Port Wood,8.75,$$$$$,SingleMalt-like,Scotland,Malt
Glenfarclas 25yo,8.75,$$$$$,SingleMalt-like,Scotland,Malt
Macallan Rare Cask,8.75,$$$$$+,SingleMalt-like,Scotland,Malt
Macallan Reflexion,8.75,$$$$$+,SingleMalt-like,Scotland,Malt
Macallan Ruby,8.75,$$$$$,SingleMalt-like,Scotland,Malt
Aberlour 18yo,8.74,$$$$,SingleMalt-like,Scotland,Malt
Glenfarclas 17yo,8.74,$$$$$,SingleMalt-like,Scotland,Malt
Glenmorangie Nectar d'Or,8.74,$$$$,SingleMalt-like,Scotland,Malt
Longmorn 16yo,8.74,$$$$,SingleMalt-like,Scotland,Malt
Macallan Classic Cut,8.74,$$$$$,SingleMalt-like,Scotland,Malt
Redbreast Lustau Edition,8.74,$$$$,SingleMalt-like,Ireland,Malt
Scallywag Cask Strength (all batches),8.74,$$$$,SingleMalt-like,Scotland,Malt
Aberlour A'Bunadh (Batch 50),8.73,$$$$,SingleMalt-like,Scotland,Malt
Aberlour A'Bunadh (Batch 59),8.73,$$$$,SingleMalt-like,Scotland,Malt
GlenDronach 21yo Parliament,8.73,$$$$$,SingleMalt-like,Scotland,Malt
Glengoyne Cask Strength (batch 1),8.73,$$$$,SingleMalt-like,Scotland,Malt
Highland Park 15yo Fire,8.73,$$$$$+,SingleMalt-like,Scotland,Malt
Springbank 13yo Green,8.73,$$$$,SingleMalt-like,Scotland,Malt
Springbank 15yo,8.73,$$$$$,SingleMalt-like,Scotland,Malt
Aberlour A'Bunadh (Batch 61),8.72,$$$$,SingleMalt-like,Scotland,Malt
GlenDronach 18yo Allardice,8.72,$$$$$,SingleMalt-like,Scotland,Malt
Glenrothes Minister's Reserve,8.72,$$$$$,SingleMalt-like,Scotland,Malt
Ohishi Sherry Single Cask,8.72,$$$$,SingleMalt-like,Scotland,Malt
Teerenpeli Distiller’s Choice KARHI,8.72,$$$$,SingleMalt-like,Finland,Malt
Deanston 10yo PX Finish,8.71,$$$$,SingleMalt-like,Scotland,Malt
Glenfarclas 105,8.71,$$$$,SingleMalt-like,Scotland,Malt
Benromach 15yo,8.7,$$$$,SingleMalt-like,Scotland,Malt
Sheep Dip 1999 Amoroso Blended Malt,8.7,$$$,SingleMalt-like,Scotland,Malt
Smogen Sherry Project 1:1,8.7,$$$$,SingleMalt-like,Sweden,Malt
Tomatin 18yo,8.7,$$$$,SingleMalt-like,Scotland,Malt
Aberlour Casg Annamh,8.69,$$$$,SingleMalt-like,Scotland,Malt
Glen Garioch 15yo Wine Cask Matured,8.69,$$$$,SingleMalt-like,Scotland,Malt
Highland Park 15yo,8.69,$$$$,SingleMalt-like,Scotland,Malt
Macallan Sienna,8.69,$$$$$,SingleMalt-like,Scotland,Malt
Tomatin Cu Bocan 2005 Limited Edition,8.69,$$$$$,SingleMalt-like,Scotland,Malt
Aberlour 16yo Double Cask Matured,8.68,$$$$,SingleMalt-like,Scotland,Malt
Kilchoman Madeira Cask Matured,8.68,$$$$$,SingleMalt-like,Scotland,Malt
Knappogue Castle 16yo Twin Wood,8.68,$$$$,SingleMalt-like,Ireland,Malt
Mortlach 15yo (Gordon & MacPhail),8.68,$$$$,SingleMalt-like,Scotland,Malt
