Name,Meta Critic,Cost,Class,Country,Whiskey Type
Amrut Portpipe Peated Single Cask #2713 (2013),8.73,$$$$,SingleMalt-like,India,Malt
Kilchoman Spring 2011 Release,8.72,$$$$,SingleMalt-like,Scotland,Malt
Kilchoman 100% Islay (all editions),8.71,$$$$,SingleMalt-like,Scotland,Malt
Amrut Portpipe Peated Single Cask (all casks),8.7,$$$$,SingleMalt-like,India,Malt
Compass Box Peat Monster 2012,8.7,$$$,SingleMalt-like,Scotland,Malt
Compass Box Peat Monster 2015,8.7,$$$,SingleMalt-like,Scotland,Malt
Compass Box Peat Monster 2005,8.69,$$$,SingleMalt-like,Scotland,Malt
Laphroaig Triple Wood,8.69,$$$$,SingleMalt-like,Scotland,Malt
Amrut Peated Single Malt,8.68,$$$$,SingleMalt-like,India,Malt
Caol Ila Distiller's Edition (all editions),8.68,$$$$,SingleMalt-like,Scotland,Malt
Smogen Single Cask 4yo 20/2011,8.68,$$$$$,SingleMalt-like,Sweden,Malt
Laphroaig Cairdeas 2017,8.67,$$$$,SingleMalt-like,Scotland,Malt
Ileach Peated Islay Cask Strength,8.65,$$$,SingleMalt-like,Scotland,Malt
Jura Prophecy,8.65,$$$$,SingleMalt-like,Scotland,Malt
Laphroaig Lore,8.62,$$$$$,SingleMalt-like,Scotland,Malt
Amrut Portpipe Peated Single Cask #2712 (2016),8.61,$$$$,SingleMalt-like,India,Malt
Bruichladdich Octomore 7.4,8.59,$$$$$,SingleMalt-like,Scotland,Malt
Bunnahabhain Toiteach,8.58,$$$$,SingleMalt-like,Scotland,Malt
AnCnoc Flaughter,8.57,$$$$,SingleMalt-like,Scotland,Malt
BenRiach 17yo Septendecim Peated,8.54,$$$$,SingleMalt-like,Scotland,Malt
Bruichladdich Octomore 9.1,8.54,$$$$$,SingleMalt-like,Scotland,Malt
Kilchoman Winter 2010 Release,8.51,$$$$,SingleMalt-like,Scotland,Malt
Bruichladdich Port Charlotte The Peat Project,8.49,$$$$,SingleMalt-like,Scotland,Malt
Compass Box Peat Monster 2010,8.47,$$$,SingleMalt-like,Scotland,Malt
Finlaggan Old Reserve,8.45,$$,SingleMalt-like,Scotland,Malt
Benromach Peat Smoke,8.43,$$$$,SingleMalt-like,Scotland,Malt
Ileach Peated Islay,8.37,$$,SingleMalt-like,Scotland,Malt
Bunnahabhain Cruach Mhona,8.32,$$$,SingleMalt-like,Scotland,Malt
Laphroaig Quarter Cask,8.31,$$$$,SingleMalt-like,Scotland,Malt
Santis Edition Dreifaltigkeit,8.03,$$$$,SingleMalt-like,Switzerland,Malt
Tomintoul Peaty Tang,7.88,$$,SingleMalt-like,Scotland,Malt
McClelland's Islay Single Malt,7.83,$$,SingleMalt-like,Scotland,Malt
Laphroaig QA Cask,7.27,$$$,SingleMalt-like,Scotland,Malt
Santis Edition Dreifaltigkeit / Cask Strength Peated,7.21,$$$$,SingleMalt-like,Switzerland,Malt
Santis Cask Strength Peated,6.44,$$$$,SingleMalt-like,Switzerland,Malt
Compass Box The General,9.18,$$$$$+,Scotch-like,Scotland,Blend
Black Bull 40yo,9.1,$$$$$+,Scotch-like,Scotland,Blend
Compass Box Hedonism Quindecimus,8.93,$$$$$,Scotch-like,Scotland,Blend
Compass Box The Circus,8.9,$$$$$,Scotch-like,Scotland,Blend
Chivas Regal Ultis,8.88,$$$$$,Scotch-like,Scotland,Blend
Powers 12yo John's Lane,8.82,$$$$,Scotch-like,Ireland,Blend
Yellow Spot 12yo,8.78,$$$$,Scotch-like,Ireland,Blend
Ballantine's 17yo,8.76,$$$$,Scotch-like,Scotland,Blend
Chivas Regal 25yo,8.73,$$$$$+,Scotch-like,Scotland,Blend
High West Campfire,8.73,$$$$,Scotch-like,USA,Blend
The Irishman Cask Strength,8.71,$$$$$,Scotch-like,Ireland,Blend
Grant's 18yo,8.67,$$$,Scotch-like,Scotland,Blend
Buchanan's 18yo Special Reserve Blended,8.66,$$$,Scotch-like,Scotland,Blend
Whyte & Mackay 30yo,8.66,$$$$$+,Scotch-like,Scotland,Blend
Jameson 18yo Limited Reserve,8.65,$$$$$,Scotch-like,Ireland,Blend
Hankey Bannister Heritage,8.63,$$,Scotch-like,Scotland,Blend
Johnnie Walker Blue Label,8.61,$$$$$,Scotch-like,Scotland,Blend
Powers 12yo Reserve,8.61,$$$,Scotch-like,Ireland,Blend
Black Bull 12yo,8.6,$$$,Scotch-like,Scotland,Blend
Buchanan's Red Seal Blended,8.58,$$$$$,Scotch-like,Scotland,Blend
Hankey Bannister 12yo Regency,8.58,$$,Scotch-like,Scotland,Blend
Compass Box Great King St Artist's Blend,8.55,$$,Scotch-like,Scotland,Blend
Johnnie Walker 15yo Green Label,8.55,$$$$,Scotch-like,Scotland,Blend
Hankey Bannister 21yo Partner's Reserve,8.54,$$$$,Scotch-like,Scotland,Blend
Jameson Round Irish Whiskey,8.54,$$$$,Scotch-like,Ireland,Blend
Nikka 12yo Premium Blended,8.54,$$$$,Scotch-like,Japan,Blend
Chivas Royal Salute 21yo,8.53,$$$$$,Scotch-like,Scotland,Blend
Compass Box Hedonism,8.52,$$$$,Scotch-like,Scotland,Blend
Teeling Single Grain (Wine Cask Finish),8.52,$$$,Scotch-like,Ireland,Grain
Compass Box Great King St Glasgow Blend,8.51,$$$,Scotch-like,Scotland,Blend
Ichiro's Malt & Grain,8.49,$$$$$,Scotch-like,Japan,Blend
Writers Tears Pot Still Irish Whiskey,8.49,$$,Scotch-like,Ireland,Blend
Jameson Cooper's Croze Irish Whiskey,8.48,$$$$,Scotch-like,Ireland,Blend
Powers Signature Release,8.48,$$$,Scotch-like,Ireland,Blend
Cutty Sark Prohibition,8.47,$$,Scotch-like,Scotland,Blend
Famous Grouse Gold Reserve 12yo,8.47,$$,Scotch-like,Scotland,Blend
Johnnie Walker Explorer’s Club The Gold Route,8.47,$$$$,Scotch-like,Scotland,Blend
Compass Box Delilah's,8.46,$$$$,Scotch-like,Scotland,Blend
Grant's 12yo,8.46,$$,Scotch-like,Scotland,Blend
Jameson Gold Reserve,8.46,$$$$,Scotch-like,Ireland,Blend
Nikka Coffey Grain,8.46,$$$$,Scotch-like,Japan,Grain
Jameson Blender's Dog Irish Whiskey,8.45,$$$$,Scotch-like,Ireland,Blend
Johnnie Walker Platinum Label,8.44,$$$$,Scotch-like,Scotland,Blend
Té Bheag,8.44,$$,Scotch-like,Scotland,Blend
Johnnie Walker Double Black,8.42,$$,Scotch-like,Scotland,Blend
Blandnoch Pure Scot,8.41,$$$,Scotch-like,Scotland,Blend
Three Ships 10yo,8.4,$$$$,Scotch-like,South Africa,Blend
Jameson Select Reserve (Black Barrel),8.39,$$,Scotch-like,Ireland,Blend
Johnnie Walker 10yo Rye Cask Finish,8.39,$$$,Scotch-like,Scotland,Blend
Kirin 50% Blend (Fuji Gotemba),8.39,$$$$,Scotch-like,Japan,Blend
Jameson 12yo Special Reserve,8.37,$$$$,Scotch-like,Ireland,Blend
Jameson Signature Reserve,8.37,$$,Scotch-like,Ireland,Blend
Johnnie Walker Explorer’s Club The Spice Road,8.37,$$,Scotch-like,Scotland,Blend
Johnnie Walker Explorer’s Club The Royal Route,8.34,$$$$$,Scotch-like,Scotland,Blend
Suntory The Chita Single Grain,8.34,$$$,Scotch-like,Japan,Blend
The Irishman Founder’s Reserve,8.34,$$,Scotch-like,Ireland,Blend
Suntory Old Whisky,8.32,$$$,Scotch-like,Japan,Blend
Bushmills Red Bush,8.3,$$,Scotch-like,Ireland,Blend
Johnnie Walker Gold Label Reserve,8.28,$$$$,Scotch-like,Scotland,Blend
Powers Three Swallow,8.28,$$$,Scotch-like,Ireland,Blend
Glendalough Double Barrel,8.27,$$,Scotch-like,Ireland,Grain
Jameson Bold Irish Whiskey,8.27,$$$$,Scotch-like,Ireland,Blend
Jameson Distiller's Safe Irish Whiskey,8.25,$$$$,Scotch-like,Ireland,Blend
Johnnie Walker 12yo Black Label,8.25,$$,Scotch-like,Scotland,Blend
Buchanan's Master Blended,8.22,$$$,Scotch-like,Scotland,Blend
Chivas Regal 18yo,8.22,$$$$,Scotch-like,Scotland,Blend
Compass Box Asyla,8.21,$$$,Scotch-like,Scotland,Blend
Jameson Crested Irish Whiskey,8.21,$$,Scotch-like,Ireland,Blend
Suntory Toki,8.18,$$$,Scotch-like,Japan,Blend
Black Bottle (pre-2013),8.17,$$,Scotch-like,Scotland,Blend
Jameson Caskmates Stout Edition,8.15,$$,Scotch-like,Ireland,Blend
Bain's Cape Mountain Whisky,8.13,$$,Scotch-like,South Africa,Grain
Kilbeggan 8yo Single Grain (Greenore),8.13,$$,Scotch-like,Ireland,Grain
The Irishman Original Clan Irish Whiskey,8.13,$$,Scotch-like,Ireland,Blend
Famous Jubilee,8.12,$$,Scotch-like,Scotland,Blend
Teeling Poitin,8.12,$$,Scotch-like,Ireland,Blend
Bank Note 5yo Blended Scotch,8.11,$,Scotch-like,Scotland,Blend
Buchanan's 12yo Deluxe Blended,8.07,$$,Scotch-like,Scotland,Blend
West Cork Original Bourbon Cask,8.07,$$,Scotch-like,Ireland,Blend
Tullamore Dew Special Reserve 12yo,8.05,$$$,Scotch-like,Ireland,Blend
Whyte & Mackay 13yo,8.05,$$$$,Scotch-like,Scotland,Blend
Yamazakura 16yo Blended Whisky,8.05,$$$$$,Scotch-like,Japan,Blend
Cutty Sark Storm,8.04,$,Scotch-like,Scotland,Blend
2 Gingers Irish Whiskey,8.03,$$,Scotch-like,Ireland,Blend
Powers Gold Label,8.03,$$,Scotch-like,Ireland,Blend
Three Ships 5yo,8.03,$,Scotch-like,South Africa,Blend
Black Bottle (after 2013 re-launch),8.01,$$,Scotch-like,Scotland,Blend
Kakubin (Suntory Whisky),8.01,$$,Scotch-like,Japan,Blend
Catto's Rare Old,8,$,Scotch-like,Scotland,Blend
Catto's 12yo,7.99,$$,Scotch-like,Scotland,Blend
Grant's Blended Sherry Cask,7.99,$,Scotch-like,Scotland,Blend
Dewar's 12yo,7.95,$$,Scotch-like,Scotland,Blend
Famous Grouse Smoky Black (Black Grouse),7.95,$$,Scotch-like,Scotland,Blend
Johnnie Walker White Walker (Game of Thrones),7.91,$$,Scotch-like,Scotland,Blend
Islay Mist 8yo,7.89,$,Scotch-like,Scotland,Blend
John Barr Reserve (Black Label),7.89,$,Scotch-like,Scotland,Blend
Jameson Lively Irish Whiskey,7.88,$$$$,Scotch-like,Ireland,Blend
Hankey Bannister Original,7.87,$,Scotch-like,Scotland,Blend
Johnnie Walker Explorer’s Club The Adventurer,7.87,$$,Scotch-like,Scotland,Blend
Grand Macnish,7.86,$,Scotch-like,Scotland,Blend
Highland Queen,7.86,$,Scotch-like,,
Teacher's Highland Cream,7.86,$,Scotch-like,Scotland,Blend
Tullamore Dew Original Blended,7.86,$$,Scotch-like,Ireland,Blend
Jameson Irish Whiskey,7.81,$$,Scotch-like,Ireland,Blend
Chivas Regal 12yo,7.78,$$,Scotch-like,Scotland,Blend
Bushmills Original Blended,7.7,$$,Scotch-like,Ireland,Blend
Grant's Family Reserve Blended,7.7,$,Scotch-like,Scotland,Blend
The Quiet Man Traditional Irish Whiskey,7.67,$$,Scotch-like,Ireland,Blend
Famous Grouse,7.65,$,Scotch-like,Scotland,Blend
Whyte & Mackay Special Blended,7.65,$,Scotch-like,Scotland,Blend
Mackmyra Vit Hund,7.62,$$$,Scotch-like,Sweden,Malt
Ballantine's Finest,7.6,$,Scotch-like,Scotland,Blend
Dewar's White Label,7.59,$$,Scotch-like,Scotland,Blend
Compass Box Orangerie,7.58,$$,Scotch-like,Scotland,Blend
White Oak Akashi Blended,7.58,$$$,Scotch-like,Japan,Blend
Bell's Original Scotch Whisky,7.56,$,Scotch-like,Scotland,Blend
Cutty Sark,7.52,$,Scotch-like,Scotland,Blend
Johnnie Walker Red Label,7.42,$,Scotch-like,Scotland,Blend
P&M Blended Whisky,7.31,$,Scotch-like,France,Blend
Passport Blended Scotch,7.29,$,Scotch-like,Scotland,Blend
Whyte & Mackay Blended Triple Matured,7.29,$,Scotch-like,Scotland,Blend
J&B Rare,6.94,$,Scotch-like,Scotland,Blend
Yamazakura Blended Whisky,6.67,$$$,Scotch-like,Japan,Blend
Booker's Rye,9.27,$$$$$+,Rye-like,USA,Rye
Lot 40 Cask Strength 11 Year Old (2018),9.18,$$$$,Rye-like,Canada,Rye
Lot 40 Cask Strength (Single Cask),9.17,$$$$,Rye-like,Canada,Rye
High West Rocky Mountain Rye 21yo,9.15,$$$$$+,Rye-like,USA,Rye
Canadian Club 41yo Chronicles,9.13,$$$$$,Rye-like,Canada,Blend
Thomas H. Handy Sazerac,9.13,$$$$$+,Rye-like,USA,Rye
High West Rocky Mountain Rye 16yo,9.1,$$$$$,Rye-like,USA,Rye
J.P. Wiser’s 35yo (2018),9.08,$$$$$,Rye-like,Canada,Rye
Lot 40 Cask Strength 12 Year Old (2017),9.08,$$$$,Rye-like,Canada,Rye
Smooth Ambler Old Scout Single Barrel Rye,9.07,$$$$,Rye-like,USA,Rye
Van Winkle Family Reserve Rye 13yo,9.06,$$$$$+,Rye-like,USA,Rye
High West Midwinter Night’s Dram Rye,9.05,$$$$$,Rye-like,USA,Rye
J.P. Wiser’s 35yo (2017),9.04,$$$$$,Rye-like,Canada,Rye
J.P. Wiser's Dissertation,9,$$$,Rye-like,Canada,Blend
Canadian Club 30yo,8.98,$$$$$,Rye-like,Canada,Blend
Canadian Rockies 21yo (46%),8.97,$$$$,Rye-like,Canada,Blend
J.P. Wiser's Legacy,8.97,$$,Rye-like,Canada,Blend
Canadian Club 40yo,8.96,$$$$$,Rye-like,Canada,Blend
Gibson's Finest Rare 18yo,8.94,$$$$,Rye-like,Canada,Blend
Michter's Barrel Strength Rye,8.92,$$$$,Rye-like,USA,Rye
Sazerac 18yo,8.92,$$$$$+,Rye-like,USA,Rye
High West Rendezvous Rye,8.91,$$$$,Rye-like,USA,Rye
Willett Family Estate 6yo Rye,8.9,$$$$,Rye-like,USA,Rye
Forty Creek Unity,8.89,$$$,Rye-like,Canada,Blend
Willett Family Estate 7yo Rye,8.87,$$$$,Rye-like,USA,Rye
Amrut Rye,8.86,$$$$,Rye-like,India,Rye
J.P. Wiser's Union 52,8.86,$$$,Rye-like,Canada,Blend
Lot 40,8.86,$$,Rye-like,Canada,Rye
Willett Family Estate 4yo Rye,8.86,$$$,Rye-like,USA,Rye
Masterson's Straight Rye 10yo,8.84,$$$$,Rye-like,Canada,Rye
Whistlepig The Boss Hog,8.84,$$$$$,Rye-like,Canada,Blend
"Forty Creek Confederation Oak (Batch A, B)",8.82,$$$,Rye-like,Canada,Blend
Michter's 10yo Single Barrel Rye,8.8,$$$$$+,Rye-like,USA,Rye
Pikesville Straight Rye,8.78,$$$$,Rye-like,USA,Rye
Whistlepig 10yo,8.78,$$$$,Rye-like,Canada,Blend
Willett Family Estate 25yo Rye,8.78,$$$$$+,Rye-like,USA,Rye
High West Double Rye Manhattan Barrel,8.77,$$$,Rye-like,USA,Rye
J.P. Wiser’s Red Letter,8.77,$$$$,Rye-like,Canada,Blend
Forty Creek Port Wood Reserve 2011/2012,8.76,$$$$,Rye-like,Canada,Blend
High West Bourye,8.76,$$$$,Rye-like,USA,Blend
Crown Royal Hand Selected Barrel,8.75,$$$,Rye-like,Canada,Blend
Forty Creek Heart of Gold,8.75,$$$$,Rye-like,Canada,Blend
Forty Creek Confederation Oak (All Batches),8.74,$$$,Rye-like,Canada,Blend
Gooderham & Worts Eleven Souls Four Grain (2018),8.74,$$$$,Rye-like,Canada,Blend
J.P. Wiser's Seasoned Oak,8.74,$$$$,Rye-like,Canada,Blend
Willett Family Estate Rye (all ages),8.74,$$$$,Rye-like,USA,Rye
Highwood Ninety Rye 20yo,8.73,$$,Rye-like,Canada,Blend
Gooderham & Worts 17yo Little Trinity Three Grain (2017),8.72,$$$$,Rye-like,Canada,Blend
Jack Daniel's Single Barrel Rye,8.72,$$$,Rye-like,USA,Rye
"Forty Creek Confederation Oak (Batch C, D)",8.7,$$$,Rye-like,Canada,Blend
High West Double Rye,8.7,$$,Rye-like,USA,Rye
Millstone 100 Rye,8.7,$$$$,Rye-like,Netherlands,Rye
Century Reserve 21yo,8.69,$$,Rye-like,Canada,Blend
Colonel E.H. Taylor Straight Rye,8.69,$$$$,Rye-like,USA,Rye
Russell's Reserve 6yo Rye,8.69,$$$,Rye-like,USA,Rye
Willett Family Estate 3yo Rye,8.69,$$$,Rye-like,USA,Rye
Forty Creek Double Barrel Reserve,8.68,$$$,Rye-like,Canada,Blend
Crown Royal Noble Collection Wine Barrel Finished,8.67,$$$,Rye-like,Canada,Blend
Willett Family Estate 5yo Rye,8.67,$$$$,Rye-like,USA,Rye
Angel’s Envy Rye (Rum-finished),8.66,$$$$,Rye-like,USA,Rye
Pike Creek 21yo Double Barrel Speyside Cask Finish (2017),8.65,$$$$,Rye-like,Canada,Blend
FEW Rye Whisky,8.63,$$$$,Rye-like,USA,Rye
Forty Creek Copper Pot Reserve,8.62,$,Rye-like,Canada,Blend
Forty Creek Evolution,8.62,$$$,Rye-like,Canada,Blend
Crown Royal Monarch 75th Anniversary,8.61,$$$,Rye-like,Canada,Blend
Gooderham & Worts Four Grain,8.61,$$,Rye-like,Canada,Blend
Michter's Single Barrel Straight Rye,8.61,$$$,Rye-like,USA,Rye
Smooth Ambler Old Scout 7yo Rye,8.61,$$$,Rye-like,USA,Rye
Canadian Club 20yo,8.6,$$$,Rye-like,Canada,Blend
Masterson's Straight Wheat 12yo,8.6,$$$$,Rye-like,Canada,Wheat
Alberta Premium Dark Horse,8.59,$,Rye-like,Canada,Blend
Crown Royal Blender's Select,8.59,$$,Rye-like,Canada,Blend
Jefferson's Straight Rye 10yo,8.59,$$$,Rye-like,USA,Rye
Rittenhouse Rye 100 Proof,8.58,$$,Rye-like,USA,Rye
Alberta Rye Dark Batch,8.57,$$,Rye-like,Canada,Blend
High West Double Rye Campfire Barrel,8.56,$$$,Rye-like,USA,Rye
J.P. Wiser's Triple Barrel Rye,8.56,$,Rye-like,Canada,Blend
Masterson's Straight Barley 10yo,8.56,$$$$,Rye-like,Canada,Barley
Caribou Crossing Single Barrel,8.55,$$$$,Rye-like,Canada,Blend
J.P. Wiser’s 18yo,8.55,$$$,Rye-like,Canada,Blend
Collingwood 21yo,8.54,$$$,Rye-like,Canada,Blend
Crown Royal Northern Harvest Rye,8.54,$$,Rye-like,Canada,Blend
Crown Royal XO,8.54,$$$,Rye-like,Canada,Blend
J.P. Wiser’s Canada 2018,8.54,$$,Rye-like,Canada,Rye
Sazerac Straight Rye,8.54,$$,Rye-like,USA,Rye
Stalk & Barrel Rye,8.53,$$$,Rye-like,Canada,Blend
Knob Creek Small Batch Straight Rye Whiskey,8.51,$$$,Rye-like,USA,Rye
Forty Creek Heritage 2017,8.5,$$$,Rye-like,Canada,Blend
J.P. Wiser’s One Fifty,8.5,$$,Rye-like,Canada,Blend
J.P. Wiser's Small Batch,8.5,$,Rye-like,Canada,Blend
"Forty Creek Confederation Oak (Batch E, F)",8.49,$$$,Rye-like,Canada,Blend
Wild Turkey 101 Rye,8.49,$$,Rye-like,USA,Rye
Danfield's 21yo,8.48,$$,Rye-like,Canada,Blend
Pike Creek 21yo Double Barrel European Oak Cask (2018),8.48,$$$$,Rye-like,Canada,Blend
Willett Family Estate 2yo Rye,8.48,$$$,Rye-like,USA,Rye
High West Yippee Ki-Yay,8.47,$$$$,Rye-like,USA,Rye
Jim Beam Pre-Prohibition Rye,8.45,$,Rye-like,USA,Rye
Pike Creek 10yo Rum-finished,8.45,$$,Rye-like,Canada,Blend
Crown Royal Reserve,8.44,$$$,Rye-like,Canada,Blend
Forty Creek Founder's Reserve,8.44,$$$,Rye-like,Canada,Blend
George Dickel Rye,8.44,$$,Rye-like,USA,Rye
Prichard’s Rye,8.44,$$$$,Rye-like,USA,Rye
High West Son of Bourye,8.43,$$$,Rye-like,USA,Blend
Forty Creek Barrel Select,8.42,$,Rye-like,Canada,Blend
J.P. Wiser’s 15yo,8.4,$$$,Rye-like,Canada,Blend
Stalk & Barrel Rye (Cask Strength),8.39,$$$,Rye-like,Canada,Blend
Potter's Special Old,8.37,$,Rye-like,Canada,Blend
Canadian Club Reserve 10yo,8.35,$$,Rye-like,Canada,Blend
Crown Royal Noble Collection Cornerstone Blend,8.35,$$$,Rye-like,Canada,Blend
Pike Creek 10yo Port-finished,8.34,$$,Rye-like,Canada,Blend
Woodford Reserve Straight Rye,8.34,$$,Rye-like,USA,Rye
Centennial 10yo,8.33,$,Rye-like,Canada,Blend
J.P. Wiser's Double Still Rye,8.32,$,Rye-like,Canada,Blend
Stalk & Barrel Red Blend,8.32,$$,Rye-like,Canada,Blend
Forty Creek Three Grain Harmony,8.31,$$$,Rye-like,Canada,Blend
Bulleit Rye,8.3,$$,Rye-like,USA,Rye
Jack Daniel's Rested Tennessee Rye (Batch 1/2),8.3,$$$,Rye-like,USA,Rye
Yellow Rose Straight Rye,8.29,$$$,Rye-like,USA,Rye
Crown Royal Limited Edition,8.27,$$,Rye-like,Canada,Blend
Willett Family Estate Rye XCF 1.0,8.27,$$$$$,Rye-like,USA,Rye
Canadian Club 100% Rye,8.26,$,Rye-like,Canada,Rye
Alberta Springs 10yo,8.25,$,Rye-like,Canada,Blend
66 Gilead Crimson Rye,8.23,$$,Rye-like,Canada,Blend
Pendleton 1910,8.23,$$,Rye-like,Canada,Blend
Crown Royal Black,8.19,$$,Rye-like,Canada,Blend
Gibson's Bold 8yo,8.19,$,Rye-like,Canada,Blend
Stalk & Barrel 11+1 Canadian whisky,8.18,$$,Rye-like,Canada,Blend
Canadian Club Sherry Cask,8.17,$$,Rye-like,Canada,Blend
Alberta Premium,8.15,$,Rye-like,Canada,Blend
Canadian Club Classic 12yo (Small Batch),8.14,$,Rye-like,Canada,Blend
Hiram Walker Special Old Rye,8.12,$,Rye-like,Canada,Blend
Koval Single Barrel Rye,8.1,$$$,Rye-like,USA,Rye
Crown Royal Bourbon Mash (Blender's Mash),8.09,$$,Rye-like,Canada,Blend
Century Reserve Lot 15/25,8.07,$,Rye-like,Canada,Blend
J.P. Wiser's Hopped,8.06,$,Rye-like,Canada,Blend
Canada Gold,8.05,$,Rye-like,Canada,Blend
Royal Canadian Small Batch,8.05,$$,Rye-like,Canada,Blend
Coyote Ugly,8.04,$,Rye-like,Canada,Blend
Canadian Mist Black Diamond,8.03,$,Rye-like,Canada,Blend
Collingwood,8.03,$$,Rye-like,Canada,Blend
Wild Turkey 81 Rye,8.03,$$,Rye-like,USA,Rye
Ezra Brooks Rye,8.01,$,Rye-like,USA,Rye
Gibson's Finest Sterling,8,$,Rye-like,Canada,Blend
J.P. Wiser's Deluxe,7.99,$,Rye-like,Canada,Blend
Canadian Club Reserve 9yo,7.97,$,Rye-like,Canada,Blend
Jim Beam Rye,7.97,$,Rye-like,USA,Rye
Twelve Barrels,7.97,$$,Rye-like,Canada,Blend
Pendleton (Let'er Buck),7.96,$$,Rye-like,Canada,Blend
Templeton Rye,7.96,$$$,Rye-like,USA,Rye
Highwood Ninety 5yo,7.95,$,Rye-like,Canada,Blend
J.P. Wiser’s Rye,7.95,$,Rye-like,Canada,Blend
Wayne Gretzky No. 99 Red Cask,7.91,$$,Rye-like,Canada,Blend
Stalk & Barrel Blue Blend,7.9,$$,Rye-like,Canada,Blend
Gibson's Finest 12yo,7.84,$,Rye-like,Canada,Blend
Schenley Golden Wedding,7.79,$,Rye-like,Canada,Blend
Rich and Rare,7.75,$,Rye-like,Canada,Blend
Rich and Rare Reserve,7.73,$,Rye-like,Canada,Blend
Black Velvet 3yo,7.71,$,Rye-like,Canada,Blend
Old Overholt,7.71,$,Rye-like,USA,Rye
Seagram's VO,7.7,$,Rye-like,Canada,Blend
Silk Tassel,7.67,$,Rye-like,Canada,Blend
Canadian Mist,7.58,$,Rye-like,Canada,Blend
Crown Royal,7.56,$,Rye-like,Canada,Blend
8 Seconds,7.54,$$,Rye-like,Canada,Blend
J.P. Wiser's Special Blend,7.37,$,Rye-like,Canada,Blend
Canadian Club (Premium),7.33,$,Rye-like,Canada,Blend
Seagram's Canadian 83,7.33,$,Rye-like,Canada,Blend
Black Velvet Reserve 8yo,7.19,$,Rye-like,Canada,Blend
Proof Whisky,7.19,$$,Rye-like,Canada,Blend
Black Velvet Deluxe,7.1,$,Rye-like,Canada,Blend
Ellington Reserve 8yo,6.89,$,Rye-like,Canada,Blend
Parker’s Heritage 2nd 27yo Kentucky Straight Boubon,9.28,$$$$$+,Bourbon-like,USA,Bourbon
Willett Family Estate 22yo Bourbon,9.28,$$$$$+,Bourbon-like,USA,Bourbon
Pappy Van Winkle Family Reserve Bourbon 15yo,9.23,$$$$$+,Bourbon-like,USA,Bourbon
Pappy Van Winkle Family Reserve Bourbon 20yo,9.23,$$$$$+,Bourbon-like,USA,Bourbon
William Larue Weller,9.21,$$$$$+,Bourbon-like,USA,Bourbon
Parker’s Heritage 7th 10yo Promise of Hope,9.2,$$$$$+,Bourbon-like,USA,Bourbon
George T Stagg,9.17,$$$$$+,Bourbon-like,USA,Bourbon
Willett Family Estate 24yo Bourbon,9.17,$$$$$+,Bourbon-like,USA,Bourbon
Elijah Craig 21yo,9.16,$$$$$+,Bourbon-like,USA,Bourbon
Wild Turkey 15yo American Spirit,9.13,$$$$$+,Bourbon-like,USA,Bourbon
Stagg Jr batch 9 (131.9 proof),9.12,$$$$,Bourbon-like,USA,Bourbon
Parker’s Heritage 4th 10yo Wheated Mash Bill Bourbon,9.08,$$$$$+,Bourbon-like,USA,Bourbon
Parker’s Heritage 5th 10yo Cognac Barrel Finished,9.07,$$$$$+,Bourbon-like,USA,Bourbon
"Buffalo Trace Experimental Collection 12yo floor #5 (rye, 2014)",9.06,$$$$$,Bourbon-like,USA,Bourbon
Four Roses Small Batch Limited Edition,9.05,$$$$$+,Bourbon-like,USA,Bourbon
Michter's 20yo Single Barrel Bourbon,9.05,$$$$$+,Bourbon-like,USA,Bourbon
Parker’s Heritage 6th Blend of Mashbills,9.04,$$$$$+,Bourbon-like,USA,Bourbon
Parker’s Heritage 11th 2017 11yo,9.03,$$$$$,Bourbon-like,USA,Bourbon
Wild Turkey Master's Keep Decades,9.03,$$$$$,Bourbon-like,USA,Bourbon
Willett Family Estate 8yo Bourbon,9.02,$$$$,Bourbon-like,USA,Bourbon
William Heavenhill BiB,8.99,$$$$$+,Bourbon-like,USA,Bourbon
Willett Family Estate Bourbon (all ages),8.98,$$$$,Bourbon-like,USA,Bourbon
Wild Turkey Master's Keep Revival,8.97,$$$$$,Bourbon-like,USA,Bourbon
Colonel E.H. Taylor Four Grain,8.96,$$$$,Bourbon-like,USA,Bourbon
Blanton's Straight from the Barrel Bourbon,8.93,$$$$,Bourbon-like,USA,Bourbon
Stagg Jr batch 4 (132.2 proof),8.93,$$$$,Bourbon-like,USA,Bourbon
Willett Family Estate 7yo Bourbon,8.93,$$$$,Bourbon-like,USA,Bourbon
Willett Family Estate 17yo Bourbon,8.91,$$$$$+,Bourbon-like,USA,Bourbon
Heaven Hill Select Stock Barrel,8.9,$$$$$,Bourbon-like,USA,Bourbon
Jack Daniel's 150th Anniversary,8.89,$$$,Bourbon-like,USA,Bourbon
Stagg Jr (batches 3+),8.89,$$$$,Bourbon-like,USA,Bourbon
Elijah Craig Barrel Proof,8.88,$$$$,Bourbon-like,USA,Bourbon
Old Rip Van Winkle 10yo,8.88,$$$$$+,Bourbon-like,USA,Bourbon
Stagg Jr batch 5 (129.7 proof),8.88,$$$$,Bourbon-like,USA,Bourbon
Willett Family Estate 11yo Bourbon,8.87,$$$$$+,Bourbon-like,USA,Bourbon
Colonel EH Taylor Barrel Proof,8.86,$$$$,Bourbon-like,USA,Bourbon
